passcode,route_surveyed,date,direction_id,timeperiodcode,purpose,origin_type_clean,origin_type_99_x,origin_address_coded,origin_lat,origin_lng,o_ST_785_AAZ,o_district_27,o_district_12,access_mode,access_99_x,access_walk_dist,accessparkloc_clean,accessparkloc_99_x,accesscarpoolloc_clean,accesscarpoolloc_99_x,access_bike_dist,access_park_cost_clean,access_park_freq_clean,dest_type_clean,dest_type_99_x,destination_address_coded,destination_lat,destination_lng,d_ST_785_AAZ,d_district_27,d_district_12,egress_mode,egress_99_x,egress_walk_dist,egressparkloc_clean,egressparkloc_99_x,egresscarpoolloc_clean,egresscarpoolloc_99_x,egress_bike_dist,egress_park_cost_clean,egress_park_freq_clean,board_stop_id,board_stop_name,board_stop_lat,board_stop_lon,b_ST_785_AAZ,b_district_27,b_district_12,alight_stop_id,alight_stop_name,alight_stop_lat,alight_stop_lon,a_ST_785_AAZ,a_district_27,a_district_12,fare_type_clean,fare_type_99_x,orca_emp_clean,orca_daynum_clean,children,numchildren_1_clean,numchildren_2_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,license,hhveh_clean,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_99_x,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,language_99_x,hhsize_clean,income_clean,route_1,route_2,route_3,route_4,total_transfers,routes_in_corridor,corridor_transfers,bad_record,board_segment,alight_segment,unlinked_weight,link_weight_factor,linked_weight,filter_$,route_surveyed2,route_new1,route_new2,route_new3,route_new4,access_new,egress_new,access_new2,egress_new2
LE11266,LINK,"Tuesday, October 13, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,25,#NULL!,0,1,2,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,SOMALI,3,7,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE12133,LINK,"Thursday, October 15, 2015",0,1,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,#NULL!,,#NULL!,#NULL!,1,#NULL!,#NULL!,2,14,#NULL!,0,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,,4,4,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE13706,LINK,"Monday, October 19, 2015",0,3,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,2,#NULL!,1,#NULL!,#NULL!,1,2,20,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,9,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE20800,LINK,"Monday, October 19, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,15,10,0,1,5,0,0,0,0,0,0,1,0,0,,0,1,0,0,0,0,0,0,0,0,0,,5,5,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE20828,LINK,"Monday, October 19, 2015",0,2,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,20,#NULL!,0,1,1,0,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,,3,2,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE24925,LINK,"Monday, October 26, 2015",0,3,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,#NULL!,,,#NULL!,#NULL!,0,0,0,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,7,,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,#NULL!,0,2,5,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,10,,,,,#NULL!,1,0,1,#NULL!,#NULL!,0,1,0,0,75,81,81,81,81,99,99,99,99
LE15131,LINK,"Wednesday, October 21, 2015",0,2,2,2,,"2815 Mt St Helens Pl S, Seattle, WA 98144, USA",47.57779,-122.28691,165,13,6,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,3,#NULL!,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,3,11,100039,100479,,,1,1,0,0,3,6,16.84587738,1,16.84587738,1,75,80,75,81,81,80,99,8,99
LE15144,LINK,"Wednesday, October 21, 2015",0,3,2,2,,"2815 Mt St Helens Pl S, Seattle, WA 98144, USA",47.57777,-122.28694,165,13,6,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,3,,2,#NULL!,1,#NULL!,#NULL!,1,3,7,0,1,3,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,3,11,100039,100479,,,1,1,0,0,3,6,10.55795314,1,10.55795314,1,75,80,75,81,81,80,99,8,99
LE24340,LINK,"Monday, October 26, 2015",0,2,1,1,,"100 23rd Ave S, Seattle, WA 98144, USA",47.60119,-122.3017,152,10,1,1,,2,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"24th Ave S & S 222nd St, Des Moines, WA 98198, USA",47.40343,-122.30251,366,14,8,1,,2,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,2,#NULL!,1,#NULL!,#NULL!,1,54,54,0,2,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,1,7,100039,100479,100512,,2,1,0,0,3,6,16.84587738,1,16.84587738,1,75,80,75,79,81,80,79,8,79
LE11820,LINK,"Wednesday, October 14, 2015",0,3,2,4,,"University of Washington Plaza, Seattle, WA 98105, USA",47.66987,-122.31022,60,8,3,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"Pacific Hwy S & S 288th St, Federal Way, WA 98003, USA",47.34343,-122.31218,780,16,11,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,5,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,15,15,0,1,2,0,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,,3,5,100228,100479,100512,,2,2,1,0,3,6,10.55795314,0.5,5.27897657,1,75,48,75,79,81,48,79,8,79
LE17401,LINK,"Monday, October 26, 2015",0,3,1,1,,"E Union St & 23rd Ave, Seattle, WA 98122, USA",47.61294,-122.30271,149,10,1,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,2,,"16301-16399 32nd Ave S, SeaTac, WA 98188, USA",47.45633,-122.29187,356,14,8,1,,2,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,#NULL!,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,#NULL!,#NULL!,0,2,1,0,0,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,1,100228,100479,,,1,2,1,0,3,6,10.55795314,0.5,5.27897657,1,75,48,75,81,81,48,99,8,99
LE21356,LINK,"Monday, October 19, 2015",0,3,2,2,,"2233 NE 46th St, Seattle, WA 98105, USA",47.66167,-122.30332,59,8,3,1,,5,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,5,,1,#NULL!,1,#NULL!,#NULL!,1,1,#NULL!,0,1,1,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,1,8,100228,100479,,,1,2,1,0,3,6,10.55795314,0.5,5.27897657,1,75,48,75,81,81,48,99,8,99
LM30956,LINK,"Monday, November 2, 2015",0,1,1,2,,"24th Ave E & E Roanoke St, Seattle, WA 98112, USA",47.64317,-122.30205,88,10,1,1,,1,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,1,,"Central Ave S & S 259th St, Kent, WA 98032, USA",47.3701,-122.22998,384,17,11,1,,3,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,2,#NULL!,1,#NULL!,#NULL!,1,4,70,0,2,1,0,0,0,0,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,4,5,100228,100479,100469,,2,2,1,0,3,6,24.74482653,0.5,12.37241327,1,75,48,75,80,81,48,80,8,8
LE21424,LINK,"Monday, October 19, 2015",0,3,2,2,,"E Madison St & 27th Ave E, Seattle, WA 98112, USA",47.62274,-122.29725,110,10,1,3,,#NULL!,1,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"2400 S 170th St, SeaTac, WA 98158, USA",47.45025,-122.30882,355,14,8,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,1,#NULL!,1,#NULL!,#NULL!,1,#NULL!,20,0,1,5,0,0,0,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,9,100275,100479,,,1,2,1,0,3,6,10.55795314,0.5,5.27897657,1,75,8,75,81,81,8,99,8,99
LE10972,LINK,"Tuesday, October 13, 2015",0,2,2,2,,"Beacon Ave S & S McClellan St, Seattle, WA 98144, USA",47.57862,-122.31159,461,13,6,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"Seattle-Tacoma International Airport, 17801 International Blvd, Seattle, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,1,#NULL!,1,#NULL!,#NULL!,1,1,50,0,1,2,0,0,0,1,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,CZECH,2,11,100479,,,,0,1,0,0,3,6,16.84587738,1,16.84587738,1,75,75,81,81,81,2,1,2,1
LE11052,LINK,"Tuesday, October 13, 2015",0,2,2,2,,"S Dearborn St, Seattle, WA 98144, USA",47.59558,-122.30266,153,10,1,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"2400 S 170th St, SeaTac, WA 98158, USA",47.45025,-122.30882,355,14,8,#NULL!,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,1,,#NULL!,#NULL!,1,#NULL!,#NULL!,#NULL!,#NULL!,3,0,1,1,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,11,100479,,,,0,1,0,0,3,6,16.84587738,1,16.84587738,1,75,75,81,81,81,2,#NULL!,2,#NULL!
LE11429,LINK,"Wednesday, October 14, 2015",0,2,2,2,,"2905 Rainier Ave S, Seattle, WA 98144, USA",47.57699,-122.29787,461,13,6,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,4,,"Airport Expressway, SeaTac, WA 98188, USA",47.44494,-122.29671,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,7,,3,#NULL!,1,#NULL!,#NULL!,2,#NULL!,#NULL!,0,2,#NULL!,0,0,0,0,0,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,0,,#NULL!,#NULL!,100479,,,,0,1,0,0,3,6,16.84587738,1,16.84587738,1,75,75,81,81,81,1,1,1,1
LE11475,LINK,"Wednesday, October 14, 2015",0,2,3,99,FRIENDS HOUSE,"22nd Ave S & S Norman St, Seattle, WA 98144, USA",47.5931,-122.30322,153,10,1,2,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,3,,"2400 S 170th St, SeaTac, WA 98158, USA",47.45025,-122.30882,355,14,8,1,,#NULL!,#NULL!,,#NULL!,,#NULL!,#NULL!,#NULL!,55949,Mt. Baker Station - Airport,47.576439,-122.297737,461,13,6,99904,Airport Station - Arrivals,47.444908,-122.297058,355,14,8,7,,#NULL!,#NULL!,1,#NULL!,#NULL!,1,2,#NULL!,0,1,0,1,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,,2,9,100479,,,,0,1,0,0,3,6,16.84587738,1,16.84587738,1,75,75,81,81,81,2,1,2,1
